time,open,high,low,close
2024-01-02,70.3285560000,70.3285560000,67.5888492000,67.7394860000
2024-01-03,67.7394860000,68.2949592000,67.3628940000,67.6735824000
2024-01-04,67.6641676000,67.6735824000,66.0448220000,66.4684880000
2024-01-05,66.0354072000,66.8639096000,65.4328600000,65.9036000000
2024-01-08,65.9695036000,65.9883332000,64.3124988000,64.6137724000
2024-01-09,64.7832388000,65.4799340000,63.9641512000,64.8773868000
2024-01-10,64.6796760000,66.6567840000,64.0394696000,65.6211560000
2024-01-11,65.6305708000,68.3043740000,65.3387120000,68.1160780000
2024-01-12,68.1160780000,68.5962328000,67.2781608000,67.9466116000
2024-01-15,67.3158200000,67.9371968000,66.7226876000,67.0145464000
2024-01-16,66.8921540000,68.2008112000,66.5438064000,67.8148044000
2024-01-17,67.5135308000,67.7771452000,65.6776448000,65.6776448000
2024-01-18,65.0750976000,67.2216720000,64.7738240000,67.0333760000
2024-01-19,66.4967324000,67.4852864000,66.0636516000,66.7980060000
2024-01-22,67.0239612000,67.0239612000,64.6608464000,65.2539788000
2024-01-23,64.8962164000,65.5834968000,63.6440480000,65.0280236000
2024-01-24,65.2069048000,65.4328600000,63.6063888000,65.1410012000
2024-01-25,64.9621200000,68.5397440000,64.8208980000,68.4550108000
2024-01-26,68.1725668000,68.7751140000,67.1745980000,67.9842708000
2024-01-29,67.9842708000,70.7992960000,67.6924120000,69.7542532000
2024-01-30,69.3211724000,69.3211724000,67.7959748000,67.7959748000
2024-01-31,67.4099680000,67.9089524000,65.5834968000,65.5834968000
2024-02-01,65.5552524000,67.4570420000,64.7267500000,66.3837548000
2024-02-02,66.6285396000,68.4455960000,65.7153040000,67.8524636000
2024-02-05,66.9486428000,69.7636680000,65.9130148000,68.9163360000
2024-02-06,68.8221880000,72.1926864000,68.3232036000,72.0138052000
2024-02-07,72.0138052000,72.3903972000,70.6110000000,72.2868344000
2024-02-08,72.4939600000,74.0003280000,70.8181256000,73.5484176000
2024-02-19,73.9626688000,74.2733572000,71.7407760000,72.1173680000
2024-02-20,72.1079532000,72.6540116000,71.2323768000,71.6842872000
2024-02-21,71.5524800000,75.7703104000,70.9875920000,74.6781936000
2024-02-22,74.0568168000,77.2013600000,73.7932024000,76.9189160000
2024-02-23,76.7306200000,79.9128224000,76.0809988000,78.1428400000
2024-02-26,78.1240104000,78.6135800000,76.4481760000,76.6647164000
2024-02-27,76.2598800000,77.0977972000,75.2336668000,76.9942344000
2024-02-28,76.3351984000,76.5423240000,74.2639424000,75.0171264000
2024-02-29,74.3675052000,75.5725996000,74.1415500000,75.5443552000
2024-03-01,75.3184000000,76.3257836000,74.8288304000,75.6949920000
2024-03-04,75.9209472000,76.1280728000,74.8570748000,75.0547856000
2024-03-05,75.0359560000,76.9754048000,74.5746308000,76.5140796000
2024-03-06,76.5140796000,76.8812568000,75.2336668000,75.7703104000
2024-03-07,75.7797252000,76.1469024000,74.8947340000,75.2807408000
2024-03-08,75.2619112000,75.3937184000,73.3224624000,73.8214468000
2024-03-11,73.8026172000,76.3069540000,73.7932024000,76.1751468000
2024-03-12,76.3446132000,79.5550600000,76.2504652000,78.9901720000
2024-03-13,78.9995868000,80.8260580000,78.5288468000,80.2894144000
2024-03-14,80.1105332000,81.1085020000,79.1219792000,79.3291048000
2024-03-15,79.0843200000,80.0163852000,78.2369880000,78.8866092000
2024-03-18,78.8960240000,79.7433560000,77.9262996000,79.1690532000
2024-03-19,79.1596384000,80.6471768000,78.2934768000,79.6115488000
2024-03-20,79.6021340000,80.7789840000,78.9713424000,80.3176588000
2024-03-21,80.2894144000,80.9672800000,80.1199480000,80.7695692000
2024-03-22,80.7507396000,80.7507396000,78.6135800000,79.1313940000
2024-03-25,79.0843200000,79.0843200000,77.4649744000,77.9451292000
2024-03-26,78.0675216000,80.1011184000,77.7568332000,80.1011184000
2024-03-27,79.0843200000,80.1764368000,78.2558176000,78.8583648000
2024-03-28,78.8583648000,80.3082440000,78.1428400000,79.2161272000
2024-03-29,79.4985712000,79.4985712000,77.6721000000,78.4911876000
2024-04-01,78.4911876000,79.5456452000,77.2107748000,78.1145956000
2024-04-02,77.7191740000,77.9545440000,76.0245100000,76.2692948000
2024-04-03,76.3540280000,77.0036492000,75.6008440000,76.0715840000
