time,open,high,low,close
2024-01-02,11.1220024800,11.1714775800,11.0032622400,11.0032622400
2024-01-03,10.9636821600,11.0824224000,10.8944170200,10.9933672200
2024-01-04,10.9933672200,10.9933672200,10.8152568600,10.8647319600
2024-01-05,10.8746269800,10.9142070600,10.6272514800,10.6866216000
2024-01-08,10.6470415200,10.6470415200,10.3106108400,10.3106108400
2024-01-09,10.3699809600,10.4194560600,10.0632353400,10.1522905200
2024-01-10,10.1522905200,10.1522905200,9.8653349400,9.8851249800
2024-01-11,9.9049150200,10.1522905200,9.9049150200,10.0533403200
2024-01-12,10.0335502800,10.0335502800,9.8851249800,9.8851249800
2024-01-15,9.8653349400,9.9939702000,9.7861747800,9.8653349400
2024-01-16,9.8851249800,9.8851249800,9.6674345400,9.7960698000
2024-01-17,9.7762797600,9.8356498800,9.5684843400,9.5684843400
2024-01-18,9.5387992800,9.6476445000,9.2122636200,9.4596391200
2024-01-19,9.4497441000,9.5190092400,9.2815287600,9.3112138200
2024-01-22,9.3507939000,9.3507939000,8.6086674000,8.6977225800
2024-01-23,8.6878275600,8.9945731800,8.6086674000,8.9549931000
2024-01-24,9.4002690000,9.6476445000,8.9549931000,9.4398490800
2024-01-25,9.4200590400,9.6476445000,9.3013188000,9.5783793600
2024-01-26,9.5783793600,9.7465947000,9.5387992800,9.5684843400
2024-01-29,9.6080644200,9.7268046600,9.3606889200,9.3705839400
2024-01-30,9.3211088400,9.4893241800,9.1627885200,9.2023686000
2024-01-31,9.1232084400,9.2023686000,8.7076176000,8.7076176000
2024-02-01,8.7076176000,8.9055180000,8.4998221800,8.5987723800
2024-02-02,8.6284574400,8.7570927000,7.8764359200,8.1831815400
2024-02-05,8.1633915000,8.2128666000,7.4014749600,7.6488504600
2024-02-06,7.6092703800,8.4107670000,7.5202152000,8.4008719800
2024-02-07,8.3909769600,9.2419486800,8.3513968800,9.2419486800
2024-02-08,9.4992192000,10.1423955000,9.4200590400,9.4893241800
2024-02-19,9.6872245800,9.6872245800,9.3705839400,9.6278544600
2024-02-20,9.4893241800,9.6179594400,9.3903739800,9.5783793600
2024-02-21,9.5289042600,9.8950200000,9.4002690000,9.5981694000
2024-02-22,9.7169096400,9.8455449000,9.5981694000,9.7762797600
2024-02-23,9.8158598400,9.9543901200,9.6080644200,9.9247050600
2024-02-26,9.8950200000,10.0434453000,9.7960698000,9.8752299600
2024-02-27,9.7762797600,10.3106108400,9.7268046600,10.3106108400
2024-02-28,10.3205058600,10.5283012800,9.7861747800,9.7960698000
2024-02-29,9.8356498800,10.3106108400,9.8059648200,10.3007158200
2024-03-01,10.3304008800,10.5381963000,10.2512407200,10.5381963000
2024-03-04,10.6173564600,10.6173564600,10.2116606400,10.3798759800
2024-03-05,10.3007158200,10.4194560600,10.1423955000,10.2413457000
2024-03-06,10.1720805600,10.3106108400,10.0335502800,10.1621855400
2024-03-07,10.1918706000,10.3304008800,9.9148100400,9.9247050600
2024-03-08,9.9741801600,10.1325004800,9.8950200000,10.1028154200
2024-03-11,10.1028154200,10.1522905200,9.9939702000,10.1423955000
2024-03-12,10.1522905200,10.2512407200,10.0731303600,10.1918706000
2024-03-13,10.1918706000,10.4392461000,10.1423955000,10.3106108400
2024-03-14,10.3007158200,10.3897710000,10.0731303600,10.2215556600
2024-03-15,10.1720805600,10.3897710000,10.0929204000,10.3699809600
2024-03-18,10.3897710000,10.5381963000,10.3007158200,10.5381963000
2024-03-19,10.5480913200,10.9339971000,10.4194560600,10.6965166200
2024-03-20,10.7064116400,11.0824224000,10.6569365400,10.9438921200
